GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11
8600000US50165,50165,ZCTA5 50165,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US50319,50319,ZCTA5 50319,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**
8600000US50521,50521,ZCTA5 50521,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,
8600000US50664,50664,ZCTA5 50664,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US52220,52220,ZCTA5 52220,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US52242,52242,ZCTA5 52242,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**
8600000US52307,52307,ZCTA5 52307,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US52334,52334,ZCTA5 52334,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US52354,52354,ZCTA5 52354,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US52557,52557,ZCTA5 52557,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**
