GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US54028,54028,ZCTA5 54028,878,73,57750,5731
8600000US54082,54082,ZCTA5 54082,761,112,80223,38281
8600000US54101,54101,ZCTA5 54101,1123,84,62017,3619
8600000US54102,54102,ZCTA5 54102,377,62,33482,6451
8600000US54103,54103,ZCTA5 54103,187,30,28173,3995
8600000US54104,54104,ZCTA5 54104,599,112,32793,5755
8600000US54106,54106,ZCTA5 54106,1938,113,58017,3520
8600000US54107,54107,ZCTA5 54107,1332,94,56118,3437
8600000US54110,54110,ZCTA5 54110,2011,108,61816,3971
8600000US54111,54111,ZCTA5 54111,940,77,51064,4168
8600000US54112,54112,ZCTA5 54112,1039,83,43287,4515
8600000US54113,54113,ZCTA5 54113,1204,72,71786,9071
8600000US54114,54114,ZCTA5 54114,2647,152,36357,3281
8600000US54115,54115,ZCTA5 54115,14739,416,62860,2455
8600000US54119,54119,ZCTA5 54119,259,47,37188,4270
8600000US54120,54120,ZCTA5 54120,92,27,33438,5033
8600000US54121,54121,ZCTA5 54121,1388,103,45726,4523
